
Loading System...

1000:0000    <-    [  0,   0,   6 ~   0,   0,  17],    cnt= 12
1000:1800    <-    [  0,   1,   1 ~   0,   1,  17],    cnt= 17
1000:3a00    <-    [  1,   0,   1 ~   1,   0,  17],    cnt= 17
1000:5c00    <-    [  1,   1,   1 ~   1,   1,  17],    cnt= 17
1000:7e00    <-    [  2,   0,   1 ~   2,   0,  17],    cnt= 17
1000:a000    <-    [  2,   1,   1 ~   2,   1,  17],    cnt= 17
1000:c200    <-    [  3,   0,   1 ~   3,   0,  17],    cnt= 17
1000:e400    <-    [  3,   1,   1 ~   3,   1,  14],    cnt= 14
2000:0000    <-    [  3,   1,  15 ~   3,   1,  17],    cnt=  3
2000:0600    <-    [  4,   0,   1 ~   4,   0,  17],    cnt= 17
2000:2800    <-    [  4,   1,   1 ~   4,   1,  17],    cnt= 17
2000:4a00    <-    [  5,   0,   1 ~   5,   0,  17],    cnt= 17
2000:6c00    <-    [  5,   1,   1 ~   5,   1,  17],    cnt= 17
2000:8e00    <-    [  6,   0,   1 ~   6,   0,  17],    cnt= 17
2000:b000    <-    [  6,   1,   1 ~   6,   1,  17],    cnt= 17
2000:d200    <-    [  7,   0,   1 ~   7,   0,  17],    cnt= 17
2000:f400    <-    [  7,   1,   1 ~   7,   1,   6],    cnt=  6
3000:0000    <-    [  7,   1,   7 ~   7,   1,  17],    cnt= 11
3000:1600    <-    [  8,   0,   1 ~   8,   0,  17],    cnt= 17
3000:3800    <-    [  8,   1,   1 ~   8,   1,  17],    cnt= 17
3000:5a00    <-    [  9,   0,   1 ~   9,   0,  17],    cnt= 17
3000:7c00    <-    [  9,   1,   1 ~   9,   1,  17],    cnt= 17
3000:9e00    <-    [ 10,   0,   1 ~  10,   0,  17],    cnt= 17
3000:c000    <-    [ 10,   1,   1 ~  10,   1,  17],    cnt= 17
3000:e200    <-    [ 11,   0,   1 ~  11,   0,  15],    cnt= 15
